id,code,name,keph_level,facility_type,owner,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
23,22900,Kericho Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,Operational,No,No,Yes,No,Yes,Yes,No
24,22899,Orion Healthcare Medical Centre,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUSIA,MATAYOS,matayos,BURUMBA,Operational,No,No,Yes,No,Yes,Yes,No
25,22898,COMMUNITY HEALTH SERVICE,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,MATHIOYA,mathioya,GITUGI,Operational,No,Yes,Yes,No,Yes,Yes,No
26,22895,Kilele Medical Specialist Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,No,No,Yes,No,Yes,Yes,No
28,22882,Highway Medical Clinic Mukuyuni,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,Operational,No,No,Yes,No,Yes,Yes,No
29,22862,ScanHealth Limited-Kericho,Level 2,Radiology Clinic,Private Practice - Medical Specialist,Kenya Radiation Protection Board,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,Operational,No,No,No,No,Yes,Yes,No
30,22860,Aimo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,KASIPUL,kasipul,EAST KAMAGAK,Operational,No,No,No,No,Yes,Yes,No
32,22855,Selina's Health Care,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),15,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
33,22853,Naagis Dispensary,Level 2,Basic primary health care facility,Public Institution,Ministry of Health,0,0,TURKANA,LOIMA,loima,TURKWEL,Operational,No,No,No,No,Yes,Yes,No
35,22850,Karen Roses Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,KAREN,Operational,No,No,No,No,Yes,Yes,No
36,22844,South C Hospital Limited(South C),Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Private Practice,8,0,NAIROBI,LANGATA,langata,SOUTH C,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
38,22828,Nasianda,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,SABOTI,saboti,KINYORO,Operational,No,No,No,No,Yes,Yes,No
43,22806,Dago,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISUMU,KISUMU WEST,kisumu west,KISUMU NORTH,Operational,No,No,No,No,Yes,Yes,No
44,22805,South C Dialysis Centre,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Institution,4,0,NAIROBI,LANGATA,langata,SOUTH C,Operational,No,Yes,Yes,No,Yes,Yes,No
49,22789,Chepsoo Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,3,0,NANDI,EMGWEN,emgwen,KAPSABET,Operational,Yes,Yes,Yes,No,Yes,Yes,No
54,22778,Rushi Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUSIA,MATAYOS,matayos,BURUMBA,Operational,No,No,Yes,No,Yes,Yes,No
59,22768,Bliss M Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,26,0,KAKAMEGA,MATUNGU,matungu,KOYONZO,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
60,22766,Jimba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI NORTH,kilifi north,WATAMU,Operational,No,No,No,No,Yes,Yes,No
62,22762,Hope care medical centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KAJIADO,KAJIADO NORTH,kajiado north,ONGATA RONGAI,Operational,No,No,No,No,Yes,Yes,No
63,22759,MASAKA DISPENSARY,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,Operational,No,No,No,No,Yes,Yes,No
64,22758,EREGI TTC CLINIC,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,Operational,No,No,No,No,Yes,Yes,No
65,22757,LUKANJI HEALTH CLINIC,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,4,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,Operational,No,No,No,No,Yes,Yes,No
67,22754,Eastern Afya Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,Operational,No,No,Yes,No,Yes,Yes,No
68,22753,Ruai Family Hospital - Tala,Level 3,Comprehensive primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,20,4,MACHAKOS,MATUNGULU,matungulu,TALA,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
74,22704,TOGONYE DISPENSARY,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,KIRINYAGA,MWEA,kirinyaga south,MURINDUKO,Operational,No,No,No,No,Yes,Yes,No
80,22691,Palis Medical Clinic,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,MWEA,kirinyaga north/mwea west,KANGAI,Operational,No,No,Yes,No,Yes,Yes,No
83,22688,St. Akidiva Memorial,Level 3,Comprehensive primary health care facility,Other Faith Based,Ministry of Health,30,2,NAROK,KILGORIS,transmara west,LOLGORIAN,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
84,22684,Faith CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI NORTH,Operational,No,Yes,No,No,Yes,Yes,No
85,22683,Patience CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,Operational,No,No,No,No,Yes,Yes,No
86,22681,Tumaini CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,Operational,No,No,No,No,Yes,Yes,No
87,22680,Africare Limited Eastleigh,Level 3,Basic primary health care facility,Private Practice - Unspecified,Kenya MPDB - Private Practice,4,1,NAIROBI,KAMUKUNJI,kamukunji,EASTLEIGH NORTH,Operational,No,Yes,Yes,No,Yes,Yes,No
88,22679,Mtwapa drop in and resource centre,Level 2,VCT,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Operational,No,No,No,No,Yes,Yes,No
91,22675,Unicure Medical Centre,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,MUTIRA,Operational,No,No,No,No,Yes,Yes,No
92,22674,Endoscopy and Diagnostic Center Kerugoya,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,Operational,No,No,No,No,Yes,Yes,No
93,22673,Professor Wasuna Clinic,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAIROBI,WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,Operational,No,No,No,No,Yes,Yes,No
95,22667,machesa dispensary,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,BENANE,Operational,No,No,No,No,Yes,Yes,No
96,22664,Kapkitony,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO NORTH,baringo north,KABARTONJO,Operational,No,No,No,No,Yes,Yes,No
101,22649,Sirende medical clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,TRANS NZOIA,KIMININI,kiminini,SIRENDE,Operational,No,No,No,No,Yes,Yes,No
103,22643,Bliss CVS Healthcare Limited Kapsabet,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,5,0,NANDI,EMGWEN,emgwen,KAPSABET,Operational,No,Yes,Yes,No,Yes,Yes,No
105,22639,Africare Ltd Karen Clinic,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,KAREN,Operational,No,No,No,No,Yes,Yes,No
118,22606,Interlink Optical and Care Services,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,Operational,No,No,No,No,Yes,Yes,No
119,22601,Bwake,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,Operational,No,No,No,No,Yes,Yes,No
123,22594,Aruba,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,SINYERERE,Operational,No,No,No,No,Yes,Yes,No
124,22592,Dr.Stephen Kamore Wanjohi,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAIROBI,WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,Operational,No,No,No,No,Yes,Yes,No
125,22591,Cheptobot,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,Operational,No,No,No,No,Yes,Yes,No
127,22585,SINDO MEDICAL CENTRE,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Ministry of Health,10,0,HOMA BAY,SUBA,suba,KAKSINGIRI WEST,Operational,Yes,No,No,No,Yes,Yes,No
128,22584,Kesogon,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,SINYERERE,Operational,No,No,No,No,Yes,Yes,No
130,22582,KEMRI ALUPE HOSPITAL,Level 3,Primary care hospitals,Non-Governmental Organizations,Ministry of Health,15,0,BUSIA,TESO SOUTH,teso south,ANG'OROM,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
138,22570,Khalwenge Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,ENDEBESS,endebess,ENDEBESS,Operational,No,No,No,No,Yes,Yes,No
140,22568,Twiga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,ENDEBESS,endebess,CHEPCHOINA,Operational,No,No,No,No,Yes,Yes,No
143,22557,CENTER VIEW MEDICAL HEALTH CARE,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,6,0,BUSIA,TESO NORTH,teso north,MALABA CENTRAL,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
144,22556,Kiptenden,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHEPSIRO/KIPTOROR,Operational,No,No,No,No,Yes,Yes,No
145,22554,ST Marys' Health Care,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Private Practice,0,0,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Operational,No,No,No,No,Yes,Yes,No
147,22551,MILIMANI DISPENSARY,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,Operational,No,No,No,No,Yes,Yes,No
152,22544,BUYEMI DISPENSARY,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,Operational,No,No,No,No,Yes,Yes,No
154,22538,Imani Medical Centre(Kitui Central),Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KITUI,KITUI CENTRAL,kitui central,MULANGO,Operational,No,No,No,No,Yes,Yes,No
159,22528,Kabolet,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,MAKUTANO,Operational,No,No,No,No,Yes,Yes,No
163,22520,Makololwe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,No,No,No,No,Yes,Yes,No
164,22519,Namang'ofulo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya MPDB - Institution,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,Yes,Yes,No
166,22515,Muromutua Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE NORTH,igembe north,NAATHU,Operational,No,No,No,No,Yes,Yes,No
167,22514,Kilera Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE NORTH,igembe north,NTUNENE,Operational,No,No,No,No,Yes,Yes,No
169,22501,Namwatikho Dispensary,Level 2,Dispensaries and clinic-out patient only,Community,Ministry of Health,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,Yes,Yes,No
170,22500,Bukokholo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,Yes,Yes,No
172,22495,Nduumoni Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,No,No,No,No,Yes,Yes,No
175,22490,Mwomo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,WEST BUKUSU,Operational,No,No,No,No,Yes,Yes,No
178,22484,Graceheal Health Care,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,2,0,NAKURU,NJORO,njoro,KIHINGO,Operational,Yes,Yes,Yes,No,Yes,Yes,No
181,22481,Kilifi GK Prison VCT,Level 2,VCT,Prisons,Other,0,0,KILIFI,KILIFI NORTH,kilifi north,SOKONI,Operational,No,No,No,No,Yes,Yes,No
182,22480,Mwangaza Gen/Eye Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NYERI,NYERI TOWN,nyeri central,RWARE,Operational,No,No,No,No,Yes,Yes,No
185,22476,LITARE COMMUNITY HEALTH CENTRE,Level 2,Basic primary health care facility,Non-Governmental Organizations,Kenya MPDB - Institution,6,0,HOMA BAY,MBITA,mbita,RUSINGA ISLAND,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
186,22475,Bamako Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TAITA TAVETA,VOI,voi,SAGALA,Operational,No,No,No,No,Yes,Yes,No
187,22473,Rithika Medical And Counselling Centre Kangeta,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,0,0,MERU,IGEMBE CENTRAL,igembe central,KANGETA,Operational,No,No,No,No,Yes,Yes,No
189,22471,Ubuntu Afya Manyatta,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,3,0,NYANDARUA,OL KALOU,olkalou,RURII,Operational,No,No,Yes,No,Yes,Yes,No
190,22464,Mwangea Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TAITA TAVETA,VOI,voi,MBOLOLO,Operational,No,No,No,No,Yes,Yes,No
192,22447,Buxton Hospital,Level 4,Primary care hospitals,Private Practice - General Practitioner,Kenya MPDB - Private Practice,12,6,MOMBASA,MVITA,mvita,TONONOKA,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
195,22444,Linax medical centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,NAKURU,NAKURU TOWN EAST,nakuru east,NAKURU EAST,Operational,No,No,No,No,Yes,Yes,No
196,22443,OptimuM current health care,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAKURU,NAKURU TOWN EAST,nakuru east,BIASHARA,Operational,No,No,Yes,No,Yes,Yes,No
197,22442,CELIPHAM MEDICAL CLINIC,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,LIMURU,limuru,LIMURU EAST,Operational,No,No,Yes,No,Yes,Yes,No
199,22410,ULTRAMED HEALTH CARE,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KILIFI,RABAI,rabai,RABAI/KISURUTINI,Operational,No,Yes,Yes,Yes,Yes,Yes,No
200,22408,Sasa,Level 2,VCT,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KIKUYU,kikuyu,KIKUYU,Operational,No,No,No,No,Yes,Yes,No
201,22407,Obwogre Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,SIAYA,UGENYA,ugenya,NORTH UGENYA,Operational,No,No,No,No,Yes,Yes,No
202,22406,Uloma Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,UGUNJA,ugunja,SIGOMERE,Operational,No,No,No,No,Yes,Yes,No
203,22392,Tumaini DISC Clinic,Level 2,VCT,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,SIAYA,UGUNJA,ugunja,UGUNJA,Operational,No,No,No,No,Yes,Yes,No
204,22383,Matibabu Ugunja Clinic,Level 2,Primary care hospitals,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,SIAYA,UGUNJA,ugunja,UGUNJA,Operational,No,No,No,No,Yes,Yes,No
206,22381,Kithia Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,KATHIANI,kathiani,UPPER KAEWA/IVETI,Operational,No,No,No,No,Yes,Yes,No
209,22377,Lilyon Nursing Home,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,12,0,WEST POKOT,KAPENGURIA,west pokot,KAPENGURIA,Operational,No,No,No,No,Yes,Yes,No
213,22370,Musyi Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MACHAKOS,MWALA,mwala,MAKUTANO/MWALA,Operational,No,No,No,Yes,Yes,Yes,No
217,22363,Lomidat dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA WEST,turkana west,SONGOT,Operational,No,No,No,No,Yes,Yes,No
219,22359,Locheredome (Turkana West) Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya Radiation Protection Board,0,0,TURKANA,TURKANA WEST,turkana west,LOPUR,Operational,No,No,No,No,Yes,Yes,No
221,22356,The Almond Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,3,0,KITUI,KITUI WEST,kitui west,KAUWI,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
222,22355,Chrizah Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,4,0,BUNGOMA,KIMILILI,kimilili,KIBINGEI,Operational,Yes,No,No,No,Yes,Yes,No
225,22351,EURAKA MEDICAL CENTRE,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Institution,8,3,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,Yes,Yes,Yes,Yes,Yes,No
226,22349,SWOP Clinic Donholm,Level 2,Comprehensive primary health care facility,Non-Governmental Organizations,Ministry of Health,4,0,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,Yes,Yes,Yes,Yes,Yes,No
230,22341,Mitambo dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,KIMININI,kiminini,WAITALUK,Operational,No,No,No,No,Yes,Yes,No
231,22340,Kibormos dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,KIMININI,kiminini,WAITALUK,Operational,No,No,No,No,Yes,Yes,No
233,22337,Maviaume Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,No,No,No,No,Yes,Yes,No
237,22329,Gateway Health Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,KIAMBU,JUJA,juja,KALIMONI,Operational,No,Yes,Yes,Yes,Yes,Yes,No
240,22323,Chaka Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KIAMBU,JUJA,juja,MURERA,Operational,No,Yes,Yes,Yes,Yes,Yes,No
241,22322,Medicross Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Institution,0,0,KIAMBU,JUJA,juja,KALIMONI,Operational,No,Yes,Yes,Yes,Yes,Yes,No
242,22321,Juja Modern Hospital & Maternity,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,0,0,KIAMBU,JUJA,juja,KALIMONI,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
243,22319,Talana specialist centre,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,5,1,KAJIADO,KAJIADO EAST,kajiado east,KAPUTIEI NORTH,Operational,No,No,No,No,Yes,Yes,No
245,22311,ISHIARA HEALTH CARE CLINIC,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,EMBU,MBEERE NORTH,mbeere north,EVURORE,Operational,No,No,No,No,Yes,Yes,No
246,22310,Machakos Central Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MACHAKOS CENTRAL,Operational,No,No,No,No,Yes,Yes,No
247,22307,ISHIARA FOCUS MEDICAL CARE,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,EMBU,MBEERE NORTH,mbeere north,EVURORE,Operational,No,No,No,No,Yes,Yes,No
248,22305,Homabay Central Medical Clinic (Homa Bay Central),Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,HOMA BAY,HOMA BAY TOWN,homa bay town,HOMA BAY CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
249,22303,OTARO,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,HOMA BAY,HOMA BAY TOWN,homa bay town,HOMA BAY EAST,Operational,No,No,No,No,Yes,Yes,No
250,22302,Oasis Doctors Plaza,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,HOMA BAY,HOMA BAY TOWN,homa bay town,HOMA BAY CENTRAL,Operational,No,No,No,No,Yes,Yes,No
251,22301,Rachare Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,1,0,SIAYA,GEM,gem,SOUTH GEM,Operational,No,No,No,No,Yes,Yes,No
